,title,genre
1,"['Extinction', ""At Eternity's Gate"", 'Instant Family', 'Alpha', 'Beoning', 'Leave No Trace', 'Second Act', 'Skyscraper', 'Adrift', 'Fast Color', 'The Spy Who Dumped Me', 'Anon', 'Calibre', 'Blockers', 'Les frères Sisters', 'Searching', 'Overlord', 'Peppermint', 'Eighth Grade', 'City of Lies', 'Hold the Dark', 'High Life', 'The Festival', 'The Possession of Hannah Grace', 'American Woman', 'The Cloverfield Paradox', 'Tumbbad', 'T-34', ""To All the Boys I've Loved Before"", 'Halloween', 'Hunter Killer', 'The Titan', 'Set It Up', 'Little Italy', 'Sorry to Bother You', 'Manyeo', ""Don't Worry, He Won't Get Far on Foot"", 'Santa Jaws', 'Prospect', 'Destination Wedding', 'Rust Creek', 'Hotel Mumbai', 'Game Over, Man!', 'Ophelia', 'Life Itself', 'Werk ohne Autor', 'The 15:17 to Paris', 'Destroyer', 'The Man Who Killed Don Quixote', 'The Old Man & the Gun']","['Action, Drama, Sci-Fi', 'Biography, Drama, History', 'Comedy, Drama', 'Action, Adventure, Drama', 'Drama, Mystery', 'Adventure, Drama', 'Comedy, Drama, Romance', 'Action, Adventure, Thriller', 'Action, Adventure, Biography', 'Drama, Sci-Fi, Thriller', 'Action, Adventure, Comedy', 'Crime, Sci-Fi, Thriller', 'Drama, Thriller', 'Comedy', 'Crime, Drama, Western', 'Drama, Mystery, Thriller', 'Action, Horror, Sci-Fi', 'Action, Crime, Drama', 'Comedy, Drama', 'Biography, Crime, Drama', 'Action, Drama, Thriller', 'Adventure, Drama, Horror', 'Comedy, Music, Romance', 'Horror, Mystery, Thriller', 'Drama, Mystery', 'Action, Horror, Sci-Fi', 'Drama, Fantasy, Horror', 'Action, War', 'Comedy, Drama, Romance', 'Crime, Horror, Thriller', 'Action, Thriller', 'Drama, Mystery, Romance', 'Comedy, Romance', 'Comedy, Romance', 'Comedy, Drama, Fantasy', 'Action, Mystery', 'Biography, Comedy, Drama', 'Action, Adventure, Comedy', 'Adventure, Drama, Sci-Fi', 'Comedy, Drama, Romance', 'Crime, Drama, Thriller', 'Action, Drama, History', 'Action, Comedy', 'Drama, Romance, Thriller', 'Drama, Romance', 'Biography, Drama, Romance', 'Biography, Drama, Thriller', 'Action, Crime, Drama', 'Adventure, Comedy, Drama', 'Biography, Comedy, Crime']"
2,"['On the Basis of Sex', 'MILF', 'White Boy Rick', 'Andhadhun', 'London Fields', 'The Holiday Calendar', 'Stan & Ollie', 'Apostle', 'The Commuter', 'K.G.F: Chapter 1', 'Truth or Dare', 'Private Life', 'Christopher Robin', 'Siberia', 'Wij', 'Johnny English Strikes Again', 'Pacific Rim: Uprising', ""Dumplin'"", 'Holmes & Watson', 'Death Wish', 'Malevolent', 'The House with a Clock in Its Walls', 'The VelociPastor', 'A Wrinkle in Time', 'Kursk', 'Greta', 'Beirut', 'The Miseducation of Cameron Post', 'When We First Met', 'Zimna wojna', 'Looking Glass', 'The Perfection', 'The Hate U Give', 'Midnight Sun', 'Unsane', 'Tau', 'Lyckligare kan ingen vara', 'We Have Always Lived in the Castle', 'Ratsasan', 'The Night Comes for Us', 'Manbiki kazoku', 'Black Mirror: Bandersnatch', 'The Death & Life of John F. Donovan', 'Every Day', 'Skin', 'Billionaire Boys Club', 'En affære', 'Lords of Chaos', 'Tell It to the Bees', 'The First Purge']","['Biography, Drama', 'Comedy', 'Crime, Drama', 'Comedy, Crime, Music', 'Crime, Mystery, Thriller', 'Drama, Fantasy, Romance', 'Biography, Comedy, Drama', 'Drama, Fantasy, Horror', 'Action, Mystery, Thriller', 'Action, Crime, Drama', 'Horror, Thriller', 'Comedy, Drama', 'Animation, Adventure, Comedy', 'Crime, Romance, Thriller', 'Drama', 'Action, Adventure, Comedy', 'Action, Adventure, Sci-Fi', 'Comedy, Drama', 'Comedy, Crime, Mystery', 'Action, Crime, Drama', 'Horror, Mystery, Thriller', 'Comedy, Family, Fantasy', 'Action, Adventure, Comedy', 'Adventure, Family, Fantasy', 'Action, Adventure, Drama', 'Drama, Mystery, Thriller', 'Action, Crime, Drama', 'Drama', 'Comedy, Fantasy, Romance', 'Drama, History, Music', 'Mystery, Thriller', 'Drama, Horror, Music', 'Crime, Drama', 'Drama, Romance', 'Drama, Horror, Mystery', 'Sci-Fi, Thriller', 'Comedy, Drama, Romance', 'Drama, Mystery, Thriller', 'Action, Crime, Drama', 'Action, Thriller', 'Crime, Drama', 'Drama, Fantasy, Mystery', 'Drama', 'Drama, Fantasy, Romance', 'Biography, Crime, Drama', 'Biography, Drama, Thriller', 'Drama, Thriller', 'Biography, Drama, Horror', 'Drama, Romance', 'Action, Horror, Sci-Fi']"
3,"['Fahrenheit 451', 'The Darkest Minds', 'Boy Erased', 'Mary Magdalene', 'If Beale Street Could Talk', 'Terminal', 'Wildlife', 'Slender Man', 'The Miracle Season', 'A Christmas Prince: The Royal Wedding', 'A Private War', 'Beyond White Space', 'The Etruscan Smile', 'Christmas in the Heartland', 'The Professor', 'Surviving Christmas with the Relatives', 'Charlie Says', 'Gräns', 'Summer of 84', 'Ben Is Back', 'Kimi no suizô o tabetai', 'The Kindergarten Teacher', 'Ride', 'Wild Rose', 'Winchester', 'I Feel Pretty', 'Overboard', 'Nativity Rocks!', 'Radium Girls', 'Assassination Nation', 'Welcome to Marwen', 'Kin', 'Red Joan', 'Summertime', 'Acts of Violence', 'Journal 64', 'Can You Ever Forgive Me?', 'Buttons', 'Bloodline', 'Head Full of Honey', 'Insidious: The Last Key', 'Then Came You', 'Padmaavat', 'Keepers', 'Hotel Artemis', 'Down a Dark Hall', 'Vita & Virginia', '22 July', 'What Keeps You Alive', 'The White Orchid']","['Drama, Sci-Fi, Thriller', 'Action, Adventure, Drama', 'Biography, Drama', 'Biography, Drama', 'Drama, Romance', 'Crime, Drama, Thriller', 'Drama', 'Horror, Mystery, Thriller', 'Drama, Sport', 'Drama, Romance', 'Biography, Drama, War', 'Sci-Fi, Thriller', 'Drama', 'Family', 'Comedy, Drama', 'Comedy', 'Biography, Crime, Drama', 'Crime, Drama, Fantasy', 'Drama, Horror, Mystery', 'Drama', 'Animation, Drama, Family', 'Drama, Thriller', 'Action', 'Comedy, Drama, Music', 'Drama, Fantasy, Horror', 'Comedy, Romance', 'Comedy, Romance', 'Comedy, Family, Musical', 'Drama, History', 'Action, Comedy, Crime', 'Biography, Comedy, Drama', 'Action, Drama, Sci-Fi', 'Biography, Drama, History', 'Drama', 'Action, Crime', 'Crime, Mystery, Thriller', 'Biography, Comedy, Crime', 'Drama, Family, Fantasy', 'Crime, Horror, Thriller', 'Comedy, Drama', 'Horror, Mystery, Thriller', 'Adventure, Comedy, Drama', 'Drama, History, Romance', 'Crime, Drama, Mystery', 'Action, Crime, Drama', 'Drama, Fantasy, Horror', 'Biography, Drama, Romance', 'Crime, Drama, History', 'Horror, Thriller', 'Drama, Mystery, Thriller']"
4,"['Gringo', 'I Can Only Imagine', 'Unfriended: Dark Web', 'Loro', 'Cam', 'The Cleaning Lady', 'American Animals', 'In Fabric', 'The Man Who Killed Hitler and Then the Bigfoot', 'Book Club', 'The Strangers: Prey at Night', 'Duck Butter', 'Mulshi Pattern', 'The Final Wish', 'Simmba', 'Trial by Fire', 'Rangasthalam', 'Puzzle', 'The Week Of', 'Ibiza', 'Elliot the Littlest Reindeer', 'Look Away', 'Gotti', 'The Angel', 'Braven', 'The Tale', 'Reprisal', 'Les', 'Accident Man', 'Parallel', 'Her Smell', 'Escape Plan 2: Hades', '211', 'The Wind', 'Zoe', 'Life of the Party', 'Gon-ji-am', 'Todos lo saben', 'Entebbe', 'The Catcher Was a Spy', 'Vox Lux', 'Forever My Girl', 'The Debt Collector', 'The Happytime Murders', 'Holly Star', 'De dirigent', 'Gloria Bell', 'Le jeu', 'Welcome Home', 'Back Roads']","['Action, Comedy, Crime', 'Biography, Drama, Family', 'Horror, Mystery, Thriller', 'Biography, Drama', 'Drama, Horror, Mystery', 'Horror, Thriller', 'Biography, Crime, Drama', 'Comedy, Fantasy, Horror', 'Adventure, Drama, Sci-Fi', 'Comedy, Drama, Romance', 'Horror', 'Comedy, Drama, Romance', 'Action, Crime, Drama', 'Horror', 'Action, Comedy, Crime', 'Biography, Drama', 'Action, Drama', 'Drama', 'Comedy', 'Comedy, Romance', 'Animation, Family', 'Drama, Fantasy, Horror', 'Biography, Crime, Drama', 'Biography, Drama, Thriller', 'Action, Thriller', 'Biography, Drama, Mystery', 'Action, Crime, Drama', 'Drama', 'Action, Crime, Thriller', 'Drama, Mystery, Sci-Fi', 'Drama, Music', 'Action, Crime, Mystery', 'Action, Crime, Drama', 'Horror, Mystery, Thriller', 'Romance, Sci-Fi', 'Comedy', 'Horror', 'Crime, Drama, Mystery', 'Action, Drama, History', 'Biography, Drama, History', 'Drama, Music', 'Comedy, Drama, Music', 'Action, Comedy', 'Action, Comedy, Crime', 'Comedy', 'Biography, Drama', 'Comedy, Drama, Music', 'Comedy, Drama', 'Thriller', 'Crime, Drama, Thriller']"
5,"['Zero', 'Slaughterhouse Rulez', 'Juliet, Naked', 'The Front Runner', 'Action Point', 'Night School', 'Galveston', 'Sherlock Gnomes', 'Woodland', 'Börü', 'Dude', 'Monster', 'The Open House', 'Blindspotting', 'Occupation', 'Den blomstertid nu kommer', 'Sex Weather', 'Aniara', 'Future World', 'Ami-ami', 'Bad Samaritan', 'Hurt', 'Age of Summer', 'The Grizzlies', 'El árbol de la sangre', 'All You Need Is Love', 'Ladies in Black', '96', 'Profile', 'Jimmy Jones', 'The Dark', 'Banana Split', 'The Pool', 'Possum', 'Between Worlds', 'Super Troopers 2', 'Thunder Road', 'Lizzie', 'Dogman', 'Raazi', 'Father of the Year', 'The Boat', 'Bent', 'Dry Martina', 'Satyameva Jayate', 'Final Score', 'Blue Night', 'Goosebumps 2: Haunted Halloween', 'Mirai no Mirai', 'La nuit a dévoré le monde']","['Comedy, Drama, Romance', 'Action, Comedy, Fantasy', 'Comedy, Drama, Music', 'Biography, Drama, History', 'Comedy', 'Comedy', 'Action, Crime, Drama', 'Animation, Adventure, Comedy', 'Thriller', 'Action, Thriller, War', 'Comedy, Drama', 'Crime, Drama', 'Horror, Thriller', 'Comedy, Crime, Drama', 'Action, Drama, Sci-Fi', 'Action, Romance, Sci-Fi', 'Comedy, Drama, Romance', 'Drama, Sci-Fi', 'Action, Adventure, Sci-Fi', 'Comedy, Romance', 'Crime, Horror, Thriller', 'Drama, Horror, Mystery', 'Comedy, Drama, Romance', 'Biography, Drama', 'Drama', 'Comedy, Romance', 'Comedy, Drama, Romance', 'Drama, Romance', 'Mystery, Thriller', 'Action, Crime, Drama', 'Drama, Fantasy, Horror', 'Comedy', 'Action, Drama, Horror', 'Drama, Horror, Mystery', 'Fantasy, Thriller', 'Comedy, Crime, Mystery', 'Comedy, Drama', 'Biography, Crime, Drama', 'Crime, Drama, Thriller', 'Action, Drama, Thriller', 'Comedy', 'Horror, Mystery, Thriller', 'Crime, Thriller', 'Comedy, Drama', 'Action, Crime, Drama', 'Action, Drama, Thriller', 'Drama, Music, Romance', 'Animation, Adventure, Comedy', 'Animation, Adventure, Drama', 'Drama, Horror, Thriller']"
6,"['A Vigilante', 'The After Party', 'Doragon bôru chô: Burorî', 'The White Crow', 'Next Gen', 'The Land of Steady Habits', 'Driven', 'Stockholm', ""Summer '03"", 'Da hong zha', 'Giant Little Ones', 'Sanju', 'Girl', 'Encounter', 'Open 24 Hours', 'The Long Dumb Road', 'Checkered Ninja', 'Alex Strangelove', 'Lazzaro felice', 'Superfly', 'Traffik', 'Where Hands Touch', 'Skjelvet', 'The Little Mermaid', 'Ansisung', 'Holiday', 'The Hummingbird Project', 'The Con Is On', 'Ying', 'Edge of Fear', 'The Wedding Guest', 'Uncle Drew', 'The Scorpion King: Book of Souls', 'El fotógrafo de Mauthausen', '100 Dinge', 'Sierra Burgess Is a Loser', 'Sanglyusahoe', 'Early Man', 'Piercing', 'I Still See You', 'Bigger', 'An Evening with Beverly Luff Linn', 'The Bromley Boys', '10x10', ""Black '47"", 'Teen Spirit', 'Unga Astrid', 'Batman Ninja', 'Den tid på året', 'Bleach: Burîchu']","['Crime, Drama, Mystery', 'Comedy, Music', 'Animation, Action, Adventure', 'Biography, Drama', 'Animation, Action, Adventure', 'Comedy, Drama', 'Biography, Drama, Thriller', 'Biography, Comedy, Crime', 'Comedy, Drama, Romance', 'Action, Adventure, Drama', 'Drama', 'Biography, Comedy, Drama', 'Drama', 'Drama, Sci-Fi', 'Horror', 'Comedy', 'Animation, Action, Adventure', 'Comedy, Drama, Romance', 'Drama, Fantasy, Mystery', 'Action, Crime, Thriller', 'Thriller', 'Drama, Romance, War', 'Action, Drama, Thriller', 'Adventure, Drama, Fantasy', 'Action, Drama, History', 'Crime, Drama', 'Drama, Thriller', 'Comedy, Crime', 'Action, Adventure, Drama', 'Action, Crime, Thriller', 'Thriller', 'Comedy, Sport', 'Action, Adventure, Fantasy', 'Biography, Drama, History', 'Comedy, Drama', 'Comedy, Drama, Romance', 'Drama', 'Animation, Adventure, Comedy', 'Horror, Mystery, Thriller', 'Fantasy, Horror, Sci-Fi', 'Biography, Drama, Sport', 'Comedy, Crime', 'Comedy', 'Drama, Thriller', 'Action, Drama, History', 'Drama, Music', 'Biography, Drama', 'Animation, Action, Sci-Fi', 'Comedy, Drama', 'Action, Adventure, Fantasy']"
7,"['Await Further Instructions', 'Teen Titans Go! To the Movies', 'Unbroken: Path to Redemption', 'Jigeum mannareo gabmida', 'All the Creatures Were Stirring', 'Campeones', 'Netemo sametemo', 'A-X-L', 'Little Women', 'Spider-Man 2: Another World', 'Vada Chennai', 'Ahlat Agaci', 'Black Water', 'Sir', 'Samson', 'Status Update', 'Spinning Man', 'Speed Kills', 'Le grand bain', 'A.I. Rising', 'The Hurricane Heist', 'The Mercy', 'D-Railed', 'Breaking In', 'Krampus: Origins', 'Hong hai xing dong', 'Charming', 'Padman', 'Benji', ""All the Devil's Men"", 'Step Sisters', 'Trautmann', 'Acrimony', 'Still', 'All Is True', 'Paul, Apostle of Christ', 'Time Freak', ""I Think We're Alone Now"", 'Death Kiss', 'Boku no hîrô akademia THE MOVIE ~ 2-ri no eiyû ~', 'In Darkness', 'Throwback Holiday', 'The Seagull', 'Hyeob-sang', ""He's Out There"", 'Mi mejor amigo', 'Hell Fest', 'Ya khudeyu', 'Diqiu zuihou de yewan', 'Dai si hing']","['Horror, Mystery, Sci-Fi', 'Animation, Action, Adventure', 'Biography, Drama, History', 'Drama, Fantasy, Romance', 'Horror', 'Comedy, Drama, Family', 'Drama, Romance', 'Action, Adventure, Drama', 'Drama, Family', 'Sci-Fi', 'Action, Crime, Drama', 'Drama', 'Action, Drama, Thriller', 'Drama, Romance', 'Action, Drama', 'Comedy, Fantasy, Romance', 'Drama, Mystery, Thriller', 'Action, Crime, Drama', 'Comedy, Drama, Sport', 'Drama, Romance, Sci-Fi', 'Action, Adventure, Crime', 'Adventure, Biography, Drama', 'Action, Adventure, Horror', 'Action, Thriller', 'Drama, Fantasy, Horror', 'Action, Drama, Thriller', 'Animation, Adventure, Comedy', 'Comedy, Drama', 'Crime, Drama, Family', 'Action, Thriller', 'Comedy', 'Biography, Drama, Romance', 'Thriller', 'Drama, Fantasy, Mystery', 'Biography, Drama, History', 'Adventure, Biography, Drama', 'Comedy, Drama, Romance', 'Drama, Mystery, Sci-Fi', 'Action, Crime, Drama', 'Animation, Action, Adventure', 'Mystery, Thriller', 'Comedy, Drama, Family', 'Comedy, Drama, Romance', 'Action, Crime, Thriller', 'Horror, Thriller', 'Drama, Romance', 'Horror, Thriller', 'Comedy', 'Drama, Mystery, Romance', 'Action, Comedy, Drama']"
8,"['Clara', '1991', 'The Men', 'Irreplaceable You', 'Lykke-Per', 'The Head Hunter', 'Avengers of Justice: Farce Wars', 'Dublin Oldschool', 'Badhaai ho', 'Burden', 'Mia et le lion blanc', 'Beast of Burden', 'Blood Fest', 'Astérix: Le secret de la potion magique', 'The Golem', 'Antrum: The Deadliest Film Ever Made', 'Darc', 'Like Father', 'Office Uprising', 'Our House', 'Support the Girls', 'The Farm', 'The Breaker Upperers', 'Half Magic', 'What They Had', ""Nobody's Fool"", ""The Matchmaker's Playbook"", 'Yip Man ngoi zyun: Cheung Tin Chi', 'Peterloo', 'Bhavesh Joshi Superhero', 'The Extraordinary Journey of the Fakir', 'Kickboxer: Retaliation', 'Haunting on Fraternity Row', 'The Isle', 'Christmas Harmony', 'Girls with Balls', 'Pretenders', 'Patrick', 'Ashes in the Snow', 'Wildling', 'La noche de 12 años', 'Sauvage', 'The Little Stranger', 'Elizabeth Harvest', 'Lust Stories', 'Utøya 22. juli', 'Dog Days', 'Raid', 'Gongjak', 'Ideal Home']","['Sci-Fi', 'Comedy', 'Mystery, Sci-Fi, Thriller', 'Comedy, Drama, Romance', 'Drama, Romance', 'Fantasy, Horror', 'Action, Comedy, Family', 'Drama', 'Comedy, Drama', 'Biography, Drama, History', 'Adventure, Drama, Family', 'Action, Crime, Drama', 'Comedy, Horror', 'Animation, Adventure, Comedy', 'Drama, Horror', 'Horror', 'Action, Crime, Thriller', 'Comedy, Drama', 'Action, Comedy, Horror', 'Drama, Horror, Mystery', 'Comedy, Drama', 'Horror', 'Comedy', 'Comedy, Romance', 'Drama', 'Comedy, Drama, Romance', 'Comedy, Romance', 'Action, Biography, Crime', 'Drama, History', 'Action, Crime, Drama', 'Adventure, Comedy, Drama', 'Action, Drama', 'Horror, Mystery, Thriller', 'Fantasy, Mystery, Thriller', 'Comedy, Drama, Music', 'Comedy, Horror', 'Drama', 'Comedy, Family, Romance', 'Drama, History, Romance', 'Drama, Fantasy, Horror', 'Adventure, Biography, Crime', 'Drama', 'Drama, Horror, Mystery', 'Horror, Sci-Fi, Thriller', 'Drama, Romance', 'Drama, Thriller', 'Comedy, Drama, Romance', 'Action, Crime, Drama', 'Drama, Thriller', 'Comedy, Drama']"
9,"['Patient Zero', 'Da xiang xidi erzuo', 'Batman: Gotham by Gaslight', 'Redbad', ""I'll Take Your Dead"", 'Bankier van het verzet', 'Backstabbing for Beginners', 'Inrang', '7 Guardians of the Tomb', 'Je ne suis pas un homme facile', 'Nightmare Cinema', 'Free Dance', ""Not Cinderella's Type"", 'Cats and Peachtopia', 'Stree', 'Pariyerum Perumal', 'Transit', 'All About Nina', 'The New Romantic', 'Race 3', 'Sulla mia pelle', 'Grâce à Dieu', 'Family', 'Za granyu realnosti', 'Rémi sans famille', 'Sobibor', 'Croc-Blanc', 'Out of Blue', 'Mard Ko Dard Nahin Hota', 'Nicky Larson et le parfum de Cupidon', 'The Happy Prince', 'In a Relationship', 'Damsel', 'Brian Banks', ""Can't Have You"", 'Show Dogs', 'Bayou Caviar', 'Happy New Year, Colin Burstead', 'Farming', 'La casa lobo', 'La sombra de la ley', 'Juzni vetar', 'Pimped', '2036 Origin Unknown', 'Dirty Work', 'Puppet Master: The Littlest Reich', 'Malicious', 'Donnybrook', 'The Least of These: A Christmas Story', 'Monsters and Men']","['Action, Drama, Horror', 'Drama', 'Animation, Action, Adventure', 'Action, Adventure, Drama', 'Horror', 'Biography, Drama, War', 'Drama, History, Romance', 'Action, Sci-Fi', 'Action, Adventure, Horror', 'Comedy', 'Horror', 'Music, Romance', 'Drama, Romance', 'Animation, Adventure, Comedy', 'Comedy, Horror', 'Drama', 'Drama, Sci-Fi', 'Drama', 'Comedy, Drama, Romance', 'Action, Crime, Thriller', 'Biography, Drama', 'Drama', 'Comedy', 'Action, Adventure, Fantasy', 'Adventure, Drama, Family', 'Drama, History, Thriller', 'Animation, Adventure, Drama', 'Crime, Drama, Mystery', 'Action, Comedy', 'Action, Comedy, Crime', 'Biography, Drama', 'Comedy, Drama', 'Comedy, Drama, Western', 'Biography, Drama, Sport', 'Comedy, Drama, Romance', 'Adventure, Comedy, Crime', 'Crime, Thriller', 'Drama', 'Drama', 'Animation, Drama, Horror', 'Crime, History, Thriller', 'Crime, Drama, Thriller', 'Crime, Drama, Thriller', 'Action, Sci-Fi, Thriller', 'Drama, Romance, Thriller', 'Comedy, Horror', 'Horror, Thriller', 'Action, Drama, Thriller', 'Comedy, Drama', 'Crime, Drama, Thriller']"
10,"['Delirium', 'Mapplethorpe', 'Only You', 'Sin-gwa ham-kke: In-gwa yeon', 'Hevi reissu', 'Backtrace', 'Marfa Girl 2', 'Jonathan', 'Little Woods', 'Sayonara no asa ni yakusoku no hana o kazarô', 'Love Sonia', 'Candy Jar', 'Yung', 'Budapest', '2.0', 'Benjamin', 'Mahanati', 'Gwen', 'Jeremiah Terminator LeRoy', 'Mara', 'Arizona', 'Halvdan Viking', 'Mario', 'Monster Party', 'Posledice', 'The Thinning: New World Order', 'Kedarnath', 'Hurricane', 'Bizim Için Sampiyon', 'Sin Island', 'Doeorak', 'Ma-yak-wang', 'Asher', 'Wild Nights with Emily', 'Jim Knopf & Lukas der Lokomotivführer', 'Ballon', 'Distorted', 'Bully', 'Jiang hu er nü', 'An Interview with God', 'Constantine: City of Demons', 'Scorched Earth', 'American Kamasutra', 'A Christmas Carol', 'UFO', 'Untogether', 'Corazón', 'Sabrina', ""Daddy's Girl"", 'Mademoiselle de Joncquières']","['Horror, Thriller', 'Biography, Drama', 'Drama, Romance', 'Action, Drama, Fantasy', 'Comedy, Music', 'Action, Crime, Drama', 'Drama', 'Drama, Sci-Fi', 'Crime, Drama, Western', 'Animation, Adventure, Drama', 'Drama', 'Comedy', 'Drama', 'Comedy', 'Action, Sci-Fi, Thriller', 'Comedy, Drama, Romance', 'Biography, Drama', 'Drama, History, Horror', 'Biography, Drama', 'Crime, Horror, Mystery', 'Comedy, Thriller', 'Adventure, Family', 'Drama, Romance, Sport', 'Comedy, Horror, Thriller', 'Drama', 'Action, Drama, Horror', 'Drama, Romance', 'Action, Drama, War', 'Biography, Drama, Romance', 'Thriller', 'Thriller', 'Action, Crime, Drama', 'Action, Drama, Thriller', 'Comedy, History', 'Action, Adventure, Family', 'Drama, History, Thriller', 'Crime, Mystery, Thriller', 'Comedy', 'Crime, Drama, Romance', 'Drama, Mystery', 'Animation, Action, Fantasy', 'Action, Drama, Sci-Fi', 'Drama, Romance', 'Fantasy', 'Drama, Mystery, Sci-Fi', 'Drama', 'Biography, Drama', 'Horror, Thriller', 'Crime, Horror, Thriller', 'Drama, Romance']"
